2012-05-01 09:25:50 Notice: Notice (8): Undefined property: PostsController::$RequestHandler in [/var/www/Desarroll/controllers/posts_controller.php, line 38]
2012-05-01 09:25:50 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 33]
2012-05-01 09:25:50 Notice: Notice (8): Trying to get property of non-object in [/var/www/Desarroll/controllers/posts_controller.php, line 33]
2012-05-01 09:25:50 Notice: Notice (8): Undefined property: PostsController::$RequestHandler in [/var/www/Desarroll/controllers/posts_controller.php, line 38]
2012-05-01 10:23:28 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 34]
2012-05-01 10:23:28 Notice: Notice (8): Undefined property: PostsController::$request in [/var/www/Desarroll/controllers/posts_controller.php, line 34]
2012-05-01 11:15:38 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:15:38 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:15:53 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:15:53 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:17:16 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 11:17:16 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:17:16 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 11:17:16 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:18:04 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 11:18:04 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:18:04 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 11:18:04 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 864]
2012-05-01 11:23:40 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 11:23:40 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 865]
2012-05-01 11:23:40 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 11:23:40 Notice: Notice (8): Undefined index: input in [/var/www/Desarroll/controllers/posts_controller.php, line 865]
2012-05-01 12:15:37 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 12:15:37 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 12:15:51 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 12:15:51 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 12:16:03 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 12:16:03 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 12:16:10 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 12:16:10 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
2012-05-01 12:17:14 Notice: Notice (8): Undefined index: $input in [/var/www/Desarroll/controllers/posts_controller.php, line 845]
